                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.1402,                0.58366,                0.97368,                0.76426,                0.72288,                 0.7512,                0.50019,                 1.2398,                0.60867,                 1.0208,              0.0013851,              0.0013851,              0.0013851
                     65,                 1.1568,                0.59162,                0.97614,                0.73753,                0.79483,                0.80773,                0.49829,                 1.2536,                  0.601,                 1.0269,              0.0013844,              0.0013844,              0.0013844
                     66,                 1.1532,                  0.595,                0.96686,                0.82062,                 0.6603,                0.70739,                0.46388,                 1.2681,                0.61155,                 1.0272,              0.0013837,              0.0013837,              0.0013837
                     67,                 1.1154,                0.56988,                0.97661,                 0.6983,                0.65792,                 0.6792,                0.45925,                 1.2528,                0.59708,                 1.0297,               0.001383,               0.001383,               0.001383
                     68,                 1.1507,                0.58657,                 0.9741,                 0.7988,                0.68312,                0.72417,                0.48956,                 1.2701,                0.61095,                 1.0332,              0.0013823,              0.0013823,              0.0013823
                     69,                 1.1658,                 0.5779,                0.97581,                0.76105,                0.65366,                0.71631,                0.47714,                 1.2544,                0.60166,                 1.0195,              0.0013816,              0.0013816,              0.0013816
                     70,                 1.1454,                0.57711,                0.96417,                0.60843,                0.73419,                 0.6701,                0.44478,                 1.2335,                0.61139,                 1.0177,              0.0013809,              0.0013809,              0.0013809
                     71,                 1.1049,                0.56234,                0.95278,                0.83454,                0.67174,                0.75878,                0.50248,                 1.2487,                0.60566,                 1.0247,              0.0013802,              0.0013802,              0.0013802
                     72,                 1.1325,                0.57688,                0.97466,                0.84058,                0.67878,                0.75385,                0.50777,                 1.2317,                0.62228,                 1.0268,              0.0013795,              0.0013795,              0.0013795
                     73,                 1.1389,                0.57996,                0.96309,                0.77522,                0.62512,                0.72881,                0.46756,                 1.2544,                0.63226,                 1.0371,              0.0013788,              0.0013788,              0.0013788
                     74,                  1.137,                0.57742,                0.96981,                0.74473,                 0.8423,                0.76419,                0.48234,                 1.2415,                0.60242,                 1.0224,              0.0013781,              0.0013781,              0.0013781
                     75,                 1.1445,                0.57511,                0.96861,                0.80589,                0.68021,                0.75568,                0.48882,                 1.2598,                0.60548,                 1.0327,              0.0013774,              0.0013774,              0.0013774
                     76,                  1.158,                0.57286,                0.96992,                0.74208,                0.73509,                 0.7396,                0.46503,                 1.2457,                0.59652,                 1.0303,              0.0013767,              0.0013767,              0.0013767
                     77,                 1.1047,                0.56181,                0.96097,                0.79426,                0.73681,                0.73753,                0.47948,                 1.2385,                0.59948,                 1.0174,              0.0013759,              0.0013759,              0.0013759
                     78,                  1.109,                0.56791,                0.97118,                0.77196,                0.70479,                0.73598,                0.49509,                 1.2524,                0.60251,                 1.0273,              0.0013752,              0.0013752,              0.0013752
                     79,                  1.118,                0.57325,                 0.9653,                0.84489,                0.71817,                0.76546,                0.51394,                 1.2408,                0.59614,                 1.0268,              0.0013745,              0.0013745,              0.0013745
                     80,                  1.128,                 0.5778,                0.96565,                0.87752,                0.68521,                0.76111,                 0.5222,                  1.229,                0.59633,                 1.0171,              0.0013738,              0.0013738,              0.0013738
                     81,                 1.1201,                0.57061,                0.95827,                0.83672,                0.76722,                0.80173,                0.50023,                 1.2325,                0.61904,                 1.0277,              0.0013731,              0.0013731,              0.0013731
                     82,                 1.1125,                0.56439,                 0.9712,                0.82693,                0.77853,                0.82369,                0.53869,                 1.2358,                0.59036,                 1.0238,              0.0013724,              0.0013724,              0.0013724
                     83,                 1.1032,                 0.5645,                0.95936,                0.80487,                0.79412,                0.79964,                0.53336,                 1.2497,                0.60319,                 1.0262,              0.0013717,              0.0013717,              0.0013717
                     84,                  1.122,                0.56628,                0.96924,                0.59208,                0.61171,                0.60028,                0.39472,                 1.2811,                0.67934,                 1.0448,               0.001371,               0.001371,               0.001371
                     85,                 1.1164,                0.56757,                 0.9537,                0.76021,                 0.5989,                0.70255,                0.47031,                 1.2926,                0.66206,                 1.0349,              0.0013703,              0.0013703,              0.0013703
                     86,                 1.1346,                0.57144,                0.96968,                0.85404,                 0.7257,                0.79064,                0.49863,                 1.2575,                0.61188,                   1.03,              0.0013696,              0.0013696,              0.0013696
                     87,                 1.0845,                0.54826,                0.95225,                0.73217,                0.78505,                0.74496,                0.47298,                 1.2227,                0.61211,                 1.0214,              0.0013689,              0.0013689,              0.0013689
                     88,                 1.1182,                0.56108,                0.96716,                0.80248,                0.77555,                 0.7515,                0.48354,                 1.2588,                0.59998,                 1.0302,              0.0013682,              0.0013682,              0.0013682
                     89,                 1.1189,                0.57037,                0.96258,                0.77741,                0.72672,                0.76523,                0.51232,                  1.241,                0.60467,                 1.0292,              0.0013675,              0.0013675,              0.0013675
                     90,                 1.0931,                0.55783,                0.95104,                0.81161,                0.71203,                0.77599,                0.49003,                 1.2523,                0.61988,                  1.039,              0.0013668,              0.0013668,              0.0013668
                     91,                 1.1253,                0.56433,                0.96488,                0.89687,                0.68265,                0.72776,                0.46898,                 1.2573,                0.61314,                 1.0364,               0.001366,               0.001366,               0.001366
                     92,                  1.101,                0.55139,                0.96313,                0.76384,                0.64852,                0.65743,                0.42882,                 1.2522,                0.59374,                 1.0355,              0.0013653,              0.0013653,              0.0013653
                     93,                 1.1001,                0.54662,                0.96411,                0.66901,                0.73519,                0.69962,                0.45497,                 1.2714,                0.60361,                 1.0382,              0.0013646,              0.0013646,              0.0013646
                     94,                 1.0738,                0.54143,                0.95464,                0.89571,                0.71998,                0.78041,                0.50719,                 1.2457,                0.59343,                 1.0311,              0.0013639,              0.0013639,              0.0013639
                     95,                 1.1077,                0.55879,                0.96007,                0.84303,                0.70658,                0.78094,                0.50894,                  1.265,                0.59914,                 1.0388,              0.0013632,              0.0013632,              0.0013632
                     96,                 1.1165,                0.57558,                0.96531,                0.79621,                0.78535,                0.78777,                0.49316,                  1.241,                0.60126,                 1.0265,              0.0013625,              0.0013625,              0.0013625
                     97,                  1.057,                0.53525,                0.94326,                0.73368,                0.78682,                 0.7849,                0.49055,                 1.2452,                0.59928,                 1.0379,              0.0013618,              0.0013618,              0.0013618
                     98,                  1.105,                 0.5665,                0.97213,                0.90851,                0.77084,                0.85768,                0.51196,                 1.2469,                0.58382,                 1.0277,              0.0013611,              0.0013611,              0.0013611
                     99,                 1.1142,                0.55641,                0.96702,                0.73968,                0.71617,                0.74277,                0.48888,                 1.2564,                0.58382,                 1.0343,              0.0013604,              0.0013604,              0.0013604
                    100,                 1.1065,                0.56002,                0.95968,                  0.752,                0.73643,                 0.8152,                0.48048,                 1.2446,                0.59627,                 1.0242,              0.0013597,              0.0013597,              0.0013597
                    101,                 1.0905,                0.54741,                0.94875,                0.93554,                0.73242,                0.83373,                0.50327,                 1.2554,                0.59044,                 1.0302,               0.001359,               0.001359,               0.001359
                    102,                 1.1065,                 0.5504,                0.96183,                0.85734,                0.75023,                0.81556,                0.49529,                 1.2499,                0.59355,                 1.0305,              0.0013583,              0.0013583,              0.0013583
                    103,                 1.0929,                  0.545,                0.95918,                0.82427,                0.78878,                 0.8218,                0.51525,                 1.2517,                0.58502,                 1.0231,              0.0013576,              0.0013576,              0.0013576
                    104,                  1.093,                0.54642,                0.94755,                0.83344,                0.76176,                0.80523,                0.49513,                 1.2377,                0.58854,                 1.0281,              0.0013568,              0.0013568,              0.0013568
                    105,                  1.042,                0.51789,                0.93436,                0.92588,                0.80907,                0.86101,                0.57403,                 1.2397,                0.57871,                 1.0222,              0.0013561,              0.0013561,              0.0013561
                    106,                 1.0772,                 0.5417,                0.94097,                0.81338,                0.80793,                0.82959,                0.53217,                 1.2445,                0.59549,                 1.0223,              0.0013554,              0.0013554,              0.0013554
