                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.2014,                0.61522,                 0.9974,                0.92316,                 0.5734,                0.64252,                 0.4112,                 1.2322,                0.66205,                 1.0327,              0.0097723,              0.0097723,              0.0097723
                     49,                 1.2416,                0.62944,                 1.0098,                0.67151,                0.73817,                 0.6892,                0.44183,                 1.2829,                0.63637,                  1.037,              0.0097674,              0.0097674,              0.0097674
                     50,                 1.2182,                0.62089,                 1.0037,                0.64929,                0.58028,                0.59582,                0.37429,                 1.3013,                0.72836,                 1.0566,              0.0097624,              0.0097624,              0.0097624
                     51,                  1.181,                0.60791,                0.99462,                0.92776,                0.54586,                 0.6987,                 0.3865,                 1.3734,                 0.6598,                 1.0653,              0.0097575,              0.0097575,              0.0097575
                     52,                 1.1825,                0.60054,                 0.9911,                0.55148,                 0.7442,                0.64716,                 0.3902,                 1.3571,                0.65338,                 1.0577,              0.0097525,              0.0097525,              0.0097525
                     53,                 1.2052,                0.61095,                0.99239,                0.59583,                0.68379,                0.64973,                  0.407,                 1.2994,                0.63836,                 1.0456,              0.0097476,              0.0097476,              0.0097476
                     54,                 1.2025,                0.61373,                0.99592,                0.58769,                0.64042,                0.67841,                 0.4305,                 1.2071,                0.61121,                 1.0282,              0.0097426,              0.0097426,              0.0097426
                     55,                 1.1907,                0.60804,                0.98907,                0.69351,                0.62439,                0.66621,                0.43958,                 1.1959,                0.59545,                 1.0147,              0.0097377,              0.0097377,              0.0097377
                     56,                  1.186,                0.59818,                0.99518,                0.74781,                0.68344,                0.68646,                0.46056,                 1.2063,                0.59108,                 1.0146,              0.0097327,              0.0097327,              0.0097327
                     57,                  1.178,                0.59862,                0.99323,                0.63079,                0.66733,                0.65184,                0.39905,                 1.3381,                0.65337,                 1.0694,              0.0097278,              0.0097278,              0.0097278
                     58,                 1.1834,                 0.6112,                0.98832,                0.53537,                0.64614,                 0.5819,                0.35877,                 1.3115,                0.72705,                  1.048,              0.0097228,              0.0097228,              0.0097228
                     59,                 1.1828,                0.59635,                0.98818,                0.61036,                0.69059,                0.64558,                0.42281,                 1.2572,                0.64058,                 1.0352,              0.0097179,              0.0097179,              0.0097179
                     60,                  1.183,                0.59962,                0.99416,                0.73859,                0.61201,                0.66316,                0.43534,                 1.2449,                 0.6172,                 1.0308,              0.0097129,              0.0097129,              0.0097129
                     61,                 1.1971,                0.60714,                0.99359,                0.58185,                0.55706,                0.62709,                0.40465,                 1.3016,                0.61962,                 1.0482,               0.009708,               0.009708,               0.009708
                     62,                 1.1878,                0.60582,                0.98991,                0.68219,                0.67646,                0.66614,                 0.4413,                  1.201,                0.61895,                 1.0177,               0.009703,               0.009703,               0.009703
                     63,                 1.1757,                0.59588,                0.98625,                0.86127,                0.68012,                0.73356,                0.47191,                 1.2594,                0.62736,                 1.0325,               0.009698,               0.009698,               0.009698
                     64,                 1.2048,                0.61586,                0.99576,                0.66176,                0.73275,                0.69479,                 0.4362,                 1.2251,                0.59562,                 1.0228,              0.0096931,              0.0096931,              0.0096931
                     65,                  1.158,                0.58619,                0.99027,                0.70525,                0.66943,                0.69644,                0.46455,                 1.1834,                0.57599,                 1.0122,              0.0096881,              0.0096881,              0.0096881
                     66,                 1.1455,                0.57636,                 0.9838,                 0.7625,                 0.7212,                0.70643,                0.45885,                 1.2118,                0.60506,                 1.0171,              0.0096832,              0.0096832,              0.0096832
                     67,                 1.1815,                0.59218,                0.97691,                0.92714,                0.68007,                0.73055,                0.47594,                 1.2191,                0.59376,                 1.0192,              0.0096783,              0.0096783,              0.0096783
                     68,                 1.1584,                 0.5861,                0.97995,                0.60727,                0.73998,                0.66134,                0.42958,                 1.2137,                0.59591,                 1.0205,              0.0096733,              0.0096733,              0.0096733
                     69,                 1.1518,                0.58149,                0.98804,                0.67467,                0.68079,                0.65844,                0.42692,                 1.1978,                0.59194,                 1.0146,              0.0096684,              0.0096684,              0.0096684
                     70,                 1.1517,                0.58848,                 0.9822,                0.61191,                0.57641,                0.61155,                0.40008,                 1.2112,                0.59877,                 1.0195,              0.0096634,              0.0096634,              0.0096634
                     71,                 1.1575,                0.58542,                0.98445,                0.61875,                0.67432,                0.66041,                0.41538,                 1.2166,                0.62341,                 1.0186,              0.0096585,              0.0096585,              0.0096585
                     72,                 1.1663,                0.58358,                 0.9812,                0.72709,                0.82211,                0.74892,                0.46478,                 1.2598,                0.60624,                 1.0309,              0.0096535,              0.0096535,              0.0096535
                     73,                  1.157,                0.58277,                0.98561,                0.65948,                0.75201,                0.71178,                  0.456,                 1.2198,                 0.5984,                 1.0201,              0.0096486,              0.0096486,              0.0096486
                     74,                 1.1761,                0.59386,                0.98926,                0.68582,                0.71968,                0.70307,                0.44579,                 1.2234,                0.60016,                 1.0233,              0.0096436,              0.0096436,              0.0096436
                     75,                 1.1535,                0.57007,                0.98373,                0.79649,                0.66783,                0.73166,                0.49058,                 1.2074,                0.58019,                 1.0142,              0.0096387,              0.0096387,              0.0096387
                     76,                 1.1651,                0.57671,                0.98992,                0.82215,                0.72696,                0.75056,                 0.5146,                  1.225,                 0.5915,                 1.0194,              0.0096337,              0.0096337,              0.0096337
                     77,                 1.1394,                0.56986,                0.98197,                0.82708,                0.83555,                0.84942,                0.55703,                 1.1909,                0.56185,                  1.006,              0.0096288,              0.0096288,              0.0096288
                     78,                 1.1522,                0.56995,                0.97604,                0.91638,                0.74132,                0.85465,                0.56199,                 1.1828,                0.55349,                 1.0109,              0.0096238,              0.0096238,              0.0096238
                     79,                 1.1466,                0.56547,                0.97589,                0.87587,                0.69188,                0.76643,                0.50016,                 1.1973,                0.57637,                 1.0212,              0.0096188,              0.0096188,              0.0096188
                     80,                 1.1592,                0.57407,                0.98275,                  0.925,                0.65638,                0.74848,                0.48563,                 1.2269,                0.57931,                 1.0216,              0.0096139,              0.0096139,              0.0096139
                     81,                 1.1235,                0.56358,                0.96936,                0.74251,                0.62281,                0.69463,                0.42818,                 1.3274,                0.60652,                 1.0575,               0.009609,               0.009609,               0.009609
                     82,                 1.1289,                0.55938,                0.97952,                0.76105,                 0.7799,                0.79118,                0.51536,                  1.199,                0.60161,                 1.0168,               0.009604,               0.009604,               0.009604
                     83,                 1.1186,                0.54983,                 0.9696,                0.70962,                0.73693,                0.70152,                0.45273,                 1.2136,                0.57952,                 1.0224,               0.009599,               0.009599,               0.009599
                     84,                 1.1353,                0.56545,                 0.9745,                0.74541,                0.62355,                0.67482,                0.44866,                 1.2158,                0.61329,                  1.022,              0.0095941,              0.0095941,              0.0095941
                     85,                 1.1362,                0.57034,                0.96704,                0.68952,                0.73978,                0.75069,                 0.4989,                 1.1879,                0.57097,                 1.0118,              0.0095892,              0.0095892,              0.0095892
                     86,                 1.1397,                0.56162,                0.97269,                0.72758,                0.74831,                0.76786,                0.50147,                  1.186,                0.56787,                 1.0112,              0.0095842,              0.0095842,              0.0095842
                     87,                 1.1351,                0.55647,                 0.9728,                0.79703,                   0.84,                0.81575,                0.53209,                 1.1812,                0.56322,                 1.0103,              0.0095793,              0.0095793,              0.0095793
                     88,                 1.1286,                0.55756,                 0.9721,                0.69331,                0.70826,                0.66647,                0.44666,                 1.2025,                0.58532,                  1.015,              0.0095743,              0.0095743,              0.0095743
                     89,                 1.1237,                0.56004,                0.96924,                0.91445,                0.74932,                0.83617,                0.54339,                 1.1985,                0.57288,                 1.0102,              0.0095694,              0.0095694,              0.0095694
                     90,                 1.1155,                0.55111,                0.97232,                0.70026,                0.79851,                0.76622,                0.50099,                 1.2055,                0.57362,                 1.0208,              0.0095644,              0.0095644,              0.0095644
                     91,                 1.1009,                0.55079,                0.96691,                0.67878,                0.67871,                 0.6653,                0.44261,                 1.1986,                 0.5768,                 1.0254,              0.0095595,              0.0095595,              0.0095595
                     92,                 1.1093,                0.54123,                0.96713,                0.88835,                0.65677,                0.78354,                0.52546,                 1.1751,                0.57138,                 1.0112,              0.0095545,              0.0095545,              0.0095545
                     93,                 1.1308,                 0.5601,                 0.9693,                0.74946,                0.79349,                0.80278,                0.52556,                 1.2086,                0.56527,                 1.0119,              0.0095496,              0.0095496,              0.0095496
                     94,                 1.1274,                 0.5597,                0.96494,                0.73771,                0.68434,                0.69445,                0.46673,                 1.1954,                0.57147,                 1.0135,              0.0095446,              0.0095446,              0.0095446
                     95,                 1.1344,                0.55618,                0.97033,                 0.7981,                0.68178,                0.70379,                0.47629,                 1.1995,                0.57875,                 1.0167,              0.0095397,              0.0095397,              0.0095397
                     96,                 1.1271,                0.55205,                0.96979,                0.71009,                0.71772,                0.68946,                0.46981,                 1.1867,                0.58609,                   1.01,              0.0095347,              0.0095347,              0.0095347
                     97,                 1.0998,                0.54373,                0.96041,                0.69888,                0.74132,                0.70397,                0.45577,                 1.2104,                0.57031,                 1.0239,              0.0095298,              0.0095298,              0.0095298
                     98,                 1.1357,                0.54772,                0.96852,                0.74613,                0.86556,                0.78839,                0.52814,                 1.1806,                0.55377,                 1.0147,              0.0095248,              0.0095248,              0.0095248
                     99,                 1.1126,                0.54251,                0.96221,                0.78491,                0.78699,                0.80762,                0.52798,                 1.1856,                 0.5493,                 1.0142,              0.0095198,              0.0095198,              0.0095198
                    100,                  1.116,                0.53779,                0.96756,                0.78865,                0.70663,                0.75993,                0.50552,                 1.1852,                 0.5763,                 1.0151,              0.0095149,              0.0095149,              0.0095149
                    101,                 1.1051,                0.53733,                0.96567,                 0.8838,                0.74578,                0.85041,                0.53342,                 1.2042,                0.56217,                 1.0183,                0.00951,                0.00951,                0.00951
                    102,                 1.1115,                0.54164,                0.96287,                0.88219,                0.80891,                0.85964,                0.56093,                 1.1865,                0.55191,                 1.0098,               0.009505,               0.009505,               0.009505
                    103,                 1.0885,                0.53638,                0.95391,                0.79947,                0.65487,                0.74261,                0.50625,                 1.1926,                0.55563,                 1.0048,                 0.0095,                 0.0095,                 0.0095
                    104,                 1.0748,                0.52822,                0.95431,                0.94496,                0.76309,                0.82329,                0.53998,                 1.2241,                0.57044,                 1.0174,              0.0094951,              0.0094951,              0.0094951
                    105,                 1.0982,                0.53834,                0.96274,                0.73255,                0.78783,                0.80222,                0.52572,                  1.201,                0.56521,                 1.0093,              0.0094902,              0.0094902,              0.0094902
                    106,                 1.1014,                0.54071,                0.96335,                0.76181,                0.76738,                0.76283,                0.48473,                 1.2424,                0.58899,                  1.028,              0.0094852,              0.0094852,              0.0094852
                    107,                 1.0859,                0.53164,                0.95896,                0.84205,                0.78214,                0.81696,                0.52277,                 1.1958,                0.57278,                  1.017,              0.0094803,              0.0094803,              0.0094803
                    108,                 1.0815,                0.53012,                0.96386,                0.91447,                0.74866,                0.85206,                0.52597,                 1.2064,                0.56451,                 1.0166,              0.0094753,              0.0094753,              0.0094753
                    109,                  1.091,                0.53966,                0.95726,                0.91639,                 0.6982,                0.80061,                  0.493,                 1.1953,                0.56994,                 1.0136,              0.0094704,              0.0094704,              0.0094704
                    110,                 1.0969,                0.53714,                0.95519,                0.80843,                0.82069,                0.82179,                0.51819,                 1.2296,                0.57468,                 1.0321,              0.0094654,              0.0094654,              0.0094654
                    111,                 1.0881,                0.53363,                0.95217,                0.76825,                 0.7028,                0.75645,                0.49013,                  1.223,                0.56632,                 1.0199,              0.0094605,              0.0094605,              0.0094605
                    112,                 1.1171,                 0.5436,                0.96638,                0.67278,                0.74841,                0.68752,                 0.4497,                 1.2074,                0.56906,                 1.0178,              0.0094555,              0.0094555,              0.0094555
                    113,                 1.0691,                0.52503,                0.95535,                0.72658,                0.82021,                0.75739,                0.47279,                 1.2013,                0.56807,                 1.0189,              0.0094506,              0.0094506,              0.0094506
                    114,                 1.0794,                0.52966,                0.95759,                0.83021,                0.77842,                0.84821,                0.51016,                 1.2247,                0.56529,                 1.0247,              0.0094456,              0.0094456,              0.0094456
                    115,                  1.094,                 0.5296,                0.96213,                 0.8534,                0.76936,                   0.82,                0.51542,                 1.1969,                0.56023,                 1.0196,              0.0094407,              0.0094407,              0.0094407
                    116,                 1.1018,                0.53657,                0.95621,                0.86154,                0.76964,                0.82013,                0.51513,                 1.1948,                0.55578,                 1.0138,              0.0094357,              0.0094357,              0.0094357
                    117,                  1.092,                 0.5391,                0.96016,                0.86284,                0.79617,                0.83548,                0.49342,                 1.2223,                0.57833,                 1.0244,              0.0094307,              0.0094307,              0.0094307
                    118,                 1.0756,                0.52741,                0.95827,                 0.7711,                 0.7246,                0.73584,                0.49743,                 1.1614,                0.54748,                 1.0082,              0.0094258,              0.0094258,              0.0094258
                    119,                 1.0754,                0.52444,                 0.9512,                0.83536,                0.73275,                0.79573,                 0.5222,                 1.1906,                0.56222,                 1.0154,              0.0094208,              0.0094208,              0.0094208
                    120,                 1.0773,                0.52798,                0.95534,                0.82099,                0.81353,                0.79946,                0.51959,                 1.1953,                 0.5691,                 1.0137,              0.0094159,              0.0094159,              0.0094159
                    121,                 1.0921,                0.52934,                0.95607,                0.73879,                0.78038,                0.76832,                0.48688,                 1.1992,                0.55316,                 1.0123,              0.0094109,              0.0094109,              0.0094109
                    122,                 1.0768,                0.52132,                0.95207,                0.82196,                0.83542,                0.82243,                0.52771,                 1.2306,                0.55582,                 1.0245,               0.009406,               0.009406,               0.009406
                    123,                 1.0936,                0.52622,                0.95794,                0.84345,                0.82363,                0.82815,                0.54373,                 1.1963,                0.54242,                 1.0152,               0.009401,               0.009401,               0.009401
                    124,                  1.063,                0.51086,                 0.9509,                0.85905,                  0.775,                0.83326,                0.54352,                 1.1884,                 0.5448,                 1.0112,              0.0093961,              0.0093961,              0.0093961
                    125,                 1.0681,                0.52127,                0.95208,                0.80368,                0.70212,                0.78907,                0.51121,                 1.1876,                0.56103,                 1.0096,              0.0093912,              0.0093912,              0.0093912
                    126,                 1.0561,                0.51539,                0.94882,                0.81899,                0.80634,                0.81603,                0.52947,                 1.1764,                0.55452,                 1.0171,              0.0093862,              0.0093862,              0.0093862
                    127,                 1.0683,                0.51903,                0.94921,                0.78712,                0.83377,                0.80972,                0.53156,                 1.1969,                0.55897,                 1.0224,              0.0093813,              0.0093813,              0.0093813
                    128,                 1.0365,                0.51188,                0.94892,                0.73339,                0.84056,                0.76276,                0.50567,                 1.1771,                0.54036,                 1.0057,              0.0093763,              0.0093763,              0.0093763
                    129,                 1.0723,                0.51693,                0.95681,                0.81706,                0.80403,                0.85613,                0.55725,                 1.1907,                0.54924,                 1.0157,              0.0093714,              0.0093714,              0.0093714
                    130,                 1.0614,                 0.5165,                0.94603,                0.92585,                0.75173,                0.85578,                0.55921,                 1.1793,                0.55925,                 1.0055,              0.0093664,              0.0093664,              0.0093664
                    131,                 1.0549,                0.51951,                0.94639,                0.93421,                0.74458,                0.84215,                0.57202,                 1.1932,                0.55987,                 1.0105,              0.0093615,              0.0093615,              0.0093615
                    132,                 1.0765,                0.53042,                 0.9464,                0.76786,                0.70074,                0.73596,                0.51336,                 1.1961,                0.55512,                 1.0186,              0.0093565,              0.0093565,              0.0093565
