                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                  1.064,                 0.5283,                0.95031,                0.76024,                0.75901,                0.77924,                 0.5141,                 1.1791,                0.56297,                 1.0217,               0.007624,               0.007624,               0.007624
                     75,                 1.0602,                0.52391,                0.95448,                 0.7735,                0.73671,                 0.7715,                  0.501,                 1.1516,                0.55981,                 1.0111,               0.007591,               0.007591,               0.007591
                     76,                 1.0749,                 0.5279,                0.95931,                0.77747,                0.84034,                 0.7979,                0.53205,                 1.2043,                0.57089,                 1.0177,               0.007558,               0.007558,               0.007558
                     77,                 1.0531,                0.52631,                0.95063,                0.83299,                0.71818,                0.78825,                0.51639,                 1.1669,                0.55203,                 1.0126,               0.007525,               0.007525,               0.007525
                     78,                 1.0623,                0.52497,                0.95961,                0.80974,                0.78533,                0.78696,                 0.5187,                 1.1715,                0.56696,                 1.0207,               0.007492,               0.007492,               0.007492
                     79,                 1.0576,                0.52193,                0.94617,                0.82897,                0.79318,                0.78632,                0.45603,                 1.2188,                0.58227,                 1.0371,               0.007459,               0.007459,               0.007459
                     80,                 1.0624,                  0.518,                0.95768,                0.83977,                 0.8106,                0.81089,                0.50494,                 1.1882,                0.56453,                  1.022,               0.007426,               0.007426,               0.007426
                     81,                 1.0532,                 0.5211,                0.94363,                0.74504,                0.77716,                0.75919,                0.50084,                 1.1584,                0.56769,                 1.0139,               0.007393,               0.007393,               0.007393
                     82,                 1.0539,                0.51706,                0.94504,                0.76505,                0.78328,                0.79492,                 0.5189,                 1.1562,                0.54625,                 1.0135,                0.00736,                0.00736,                0.00736
                     83,                  1.052,                0.51696,                0.94554,                0.87339,                0.73606,                0.80853,                0.53156,                  1.136,                0.54776,                 1.0061,               0.007327,               0.007327,               0.007327
                     84,                 1.0399,                0.51263,                0.94398,                0.80766,                0.77512,                0.77602,                0.51502,                 1.1669,                0.56748,                 1.0159,               0.007294,               0.007294,               0.007294
                     85,                 1.0372,                0.51688,                0.94594,                0.81842,                0.82277,                 0.8102,                0.53846,                 1.1853,                0.55409,                 1.0233,               0.007261,               0.007261,               0.007261
                     86,                 1.0315,                0.51514,                0.94291,                0.82617,                0.68109,                0.79255,                0.51329,                 1.1976,                0.56909,                 1.0296,               0.007228,               0.007228,               0.007228
                     87,                 1.0381,                0.51337,                0.94623,                0.83952,                0.80573,                0.84254,                0.55349,                 1.1869,                0.55674,                 1.0159,               0.007195,               0.007195,               0.007195
                     88,                 1.0594,                0.51775,                0.94664,                0.91749,                0.77779,                0.81864,                 0.5212,                 1.1678,                0.55205,                 1.0169,               0.007162,               0.007162,               0.007162
                     89,                 1.0321,                0.50779,                0.94429,                0.75843,                0.71896,                0.76518,                0.45574,                 1.2752,                 0.6119,                 1.0464,               0.007129,               0.007129,               0.007129
                     90,                 1.0107,                 0.4993,                 0.9403,                0.76705,                0.83621,                0.83201,                0.53927,                 1.1623,                0.55037,                 1.0198,               0.007096,               0.007096,               0.007096
                     91,                 1.0258,                0.50415,                0.94002,                0.79299,                0.80776,                0.78861,                0.51765,                 1.1753,                0.55957,                 1.0215,               0.007063,               0.007063,               0.007063
                     92,                 1.0283,                0.51216,                0.93698,                 0.9246,                0.73739,                0.81804,                0.51481,                 1.1819,                0.55023,                  1.022,                0.00703,                0.00703,                0.00703
